MomenTUM.A1ModJulian,MomenTUM.Mars.Altitude
31345.00042863868,214920577.4381213
31345.00092455313,214919813.6541413
31345.0014422744,214919000.165755
31345.0019485573,214918189.4126138
31345.00246029326,214917355.4599152
31345.0029573705,214916532.3840926
31345.00342126322,214915753.5460101
31345.00389175592,214914953.9252616
31345.00445719568,214913981.233721
31345.0050470023,214912954.5391101
31345.00552921469,214912107.1006594
31345.0060790602,214911133.1515382
31345.00662488092,214910159.3860506
31345.00716326824,214909193.1452848
31345.00780223088,214908040.2906168
31345.00838438108,214906985.2686287
31345.00896802819,214905924.0182312
31345.00967448107,214904635.9109765
31345.01041899318,214903275.4574844
31345.01119673676,214901852.3183956
31345.01201208232,214900359.4210249
31345.0128704501,214898787.8139702
31345.01377552237,214897131.796317
31345.01473438619,214895379.5299717
31345.01575185479,214893523.4548303
31345.01683432808,214891553.2491867
31345.01799124308,214889453.2464726
31345.01922822062,214887214.9172191
31345.0205480716,214884834.9548262
31345.02195504959,214882307.5441473
31345.02344681957,214879638.7309525
31345.02502349405,214876830.0874896
31345.02668864285,214873876.9941941
31345.0284425824,214870780.5851091
31345.03029159148,214867531.4509357
31345.03224083423,214864122.2265798
31345.03429688777,214860543.1519639
31345.0364676592,214856782.2686527
31345.03876204067,214852826.0619867
31345.04119127188,214848657.160712
31345.04376003235,214844269.6017492
31345.04648182057,214839642.4720582
31345.04936650079,214834761.2726133
31345.05242708011,214829606.3727451
31345.05567440508,214824161.9892572
31345.05912058455,214818410.388301
31345.0627823236,214812326.3907626
31345.06667058976,214805894.5802204
31345.07080350266,214799087.8927809
31345.0751952452,214791885.9994759
31345.0798720873,214784249.0357712
31345.08484776376,214776157.9472275
31345.0901447836,214767579.6010944
31345.09578878775,214758476.1351862
31345.1017941265,214748828.1537763
31345.10818707531,214738597.2644576
31345.11499944532,214727736.5885315
31345.12194388977,214716705.7089907
31345.12888833421,214705712.2838898
31345.13583277865,214694753.4155274
31345.1427772231,214683826.5529979
31345.14972166755,214672929.4372432
31345.15666611199,214662060.056675
31345.16361055644,214651216.6110949
31345.17055500088,214640397.4820292
31345.17749944532,214629601.2081923
31345.18444388977,214618826.4650742
31345.19138833421,214608072.0477257
31345.19833277865,214597336.8562803
31345.2052772231,214586619.8835999
31345.21222166755,214575920.2047834
31345.21916611199,214565236.9680738
31345.22611055644,214554569.3870622
31345.23305500088,214543916.7339313
31345.23999944532,214533278.3335105
31345.24694388977,214522653.5581602
31345.25388833421,214512041.8232154
31345.26083277865,214501442.5830218
31345.2677772231,214490855.327364
31345.27472166755,214480279.5783796
31345.28166611199,214469714.88775
31345.28861055644,214459160.8342379
31345.29555500088,214448617.0214429
31345.30249944532,214438083.0758026
31345.30944388977,214427558.6448397
31345.31638833421,214417043.3955004
31345.32333277865,214406537.0127193
31345.3302772231,214396039.1980701
31345.33722166755,214385549.6686081
31345.34416611199,214375068.1557338
31345.35111055644,214364594.4042145
31345.35805500088,214354128.171294
31345.36499944532,214343669.2258166
31345.37194388977,214333217.3475101
31345.37888833421,214322772.3262596
31345.38583277865,214312333.9614931
31345.3927772231,214301902.0615445
31345.39972166755,214291476.4431536
31345.40666611199,214281056.9309354
31345.41361055644,214270643.3569373
31345.42055500088,214260235.5601859
31345.42749944532,214249833.3862832
31345.43444388977,214239436.6870756
31345.44138833421,214229045.3202647
31345.44833277865,214218659.1491142
31345.4552772231,214208278.0421236
31345.46222166755,214197901.8727948
31345.46916611199,214187530.5193274
31345.47611055644,214177163.8643939
31345.48305500088,214166801.7949294
31345.48999944532,214156444.2018751
31345.49694388977,214146090.9800234
31345.50388833421,214135742.027803
31345.51083277865,214125397.2471312
31345.5177772231,214115056.5432031
31345.52472166755,214104719.8243816
31345.53166611199,214094387.0020235
31345.53861055644,214084057.9903648
31345.54555500088,214073732.7063675
31345.55249944532,214063411.0695935
31345.55944388977,214053093.0021276
31345.56638833421,214042778.4284242
31345.57333277865,214032467.2752298
31345.5802772231,214022159.4714588
31345.58722166755,214011854.948144
31345.59416611199,214001553.6383048
31345.60111055644,213991255.476881
31345.60805500088,213980960.4006706
31345.61499944532,213970668.348211
31345.62194388977,213960379.2597503
31345.62888833421,213950093.0771531
31345.63583277865,213939809.743862
31345.6427772231,213929529.2047909
31345.64972166755,213919251.4063061
31345.65666611199,213908976.296165
31345.66361055644,213898703.8234406
31345.67055500088,213888433.9384915
31345.67749944532,213878166.5928866
31345.68444388977,213867901.7394019
31345.69138833421,213857639.3319311
31345.69833277865,213847379.3254688
31345.7052772231,213837121.6760428
31345.71222166755,213826866.3407177
31345.71916611199,213816613.2775133
31345.72611055644,213806362.4453845
31345.73305500088,213796113.8042043
31345.73999944532,213785867.3146846
31345.74694388977,213775622.9383886
31345.75388833421,213765380.6376715
31345.76083277865,213755140.3756765
31345.7677772231,213744902.1162616
31345.77472166755,213734665.8240096
31345.78166611199,213724431.464197
31345.78861055644,213714199.0027439
31345.79555500088,213703968.4062107
31345.80249944532,213693739.6417457
31345.80944388977,213683512.6771049
31345.81638833421,213673287.4805834
31345.82333277865,213663064.0210143
31345.8302772231,213652842.2677414
31345.83722166755,213642622.1905967
31345.84416611199,213632403.759879
31345.85111055644,213622186.9463275
31345.85805500088,213611971.7211239
31345.86499944532,213601758.0558269
31345.87194388977,213591545.9223925
31345.87888833421,213581335.2931503
31345.88583277865,213571126.140766
31345.8927772231,213560918.4382229
31345.89972166755,213550712.1588216
31345.90666611199,213540507.2761614
31345.91361055644,213530303.7641016
31345.92055500088,213520101.5967658
31345.92749944532,213509900.7484998
31345.93444388977,213499701.1938987
31345.94138833421,213489502.9077493
31345.94833277865,213479305.8650363
31345.9552772231,213469110.0409246
31345.96222166755,213458915.4107478
31345.96916611199,213448721.9499954
31345.97611055644,213438529.6342992
31345.98305500088,213428338.4394471
31345.98999944532,213418148.3413317
31345.99694388977,213407959.3159867
31346.00388833421,213397771.3395795
31346.01083277865,213387584.3883957
31346.0177772231,213377398.4388427
31346.02472166755,213367213.4674765
31346.03166611199,213357029.4510144
31346.03861055644,213346846.3663309
31346.04555500088,213336664.1905
31346.05249944532,213326482.9008205
31346.05944388977,213316302.4748552
31346.06638833421,213306122.8904773
31346.07333277865,213295944.1259253
31346.0802772231,213285766.1598702
31346.08722166755,213275588.971491
31346.09416611199,213265412.5405591
31346.10111055644,213255236.8475562
31346.10805500088,213245061.8737637
31346.11499944532,213234887.6013881
31346.12194388977,213224714.0137135
31346.12888833421,213214541.0952471
31346.13583277865,213204368.8318558
31346.1427772231,213194197.2109197
31346.14972166755,213184026.2215322
31346.15666611199,213173855.8546125
31346.16361055644,213163686.1030751
31346.17055500088,213153516.961957
31346.17749944532,213143348.4285271
31346.18444388977,213133180.5023643
31346.19138833421,213123013.1853943
31346.19833277865,213112846.4819088
31346.2052772231,213102680.3984677
31346.21222166755,213092514.9438377
31346.21916611199,213082350.1288048
31346.22611055644,213072185.9659838
31346.23305500088,213062022.4695345
31346.23999944532,213051859.6548556
31346.24694388977,213041697.5382928
31346.25388833421,213031536.1367424
31346.26083277865,213021375.4673217
31346.2677772231,213011215.5469926
31346.27472166755,213001056.3922748
31346.28166611199,212990898.0189016
31346.28861055644,212980740.4415755
31346.29555500088,212970583.6737677
31346.30249944532,212960427.7275031
31346.30944388977,212950272.6132818
31346.31638833421,212940118.3399751
31346.32333277865,212929964.9148186
31346.3302772231,212919812.3433705
31346.33722166755,212909660.6295873
31346.34416611199,212899509.7758813
31346.35111055644,212889359.7831801
31346.35805500088,212879210.6510462
31346.36499944532,212869062.3777564
31346.37194388977,212858914.9604588
31346.37888833421,212848768.3952416
31346.38583277865,212838622.6772685
31346.3927772231,212828477.8008836
31346.39972166755,212818333.7597143
31346.40666611199,212808190.5467708
31346.41361055644,212798048.1545309
31346.42055500088,212787906.5750466
31346.42749944532,212777765.7999749
31346.43444388977,212767625.8206867
31346.44138833421,212757486.6283233
31346.44833277865,212747348.2138333
31346.4552772231,212737210.5680211
31346.46222166755,212727073.6816066
31346.46916611199,212716937.5452624
31346.47611055644,212706802.1496237
31346.48305500088,212696667.4853341
31346.48999944532,212686533.5430643
31346.49694388977,212676400.3135336
31346.50388833421,212666267.7875209
31346.51083277865,212656135.9559033
31346.5177772231,212646004.8096221
31346.52472166755,212635874.3397382
31346.53166611199,212625744.5374129
31346.53861055644,212615615.3939367
31346.54555500088,212605486.9007126
31346.55249944532,212595359.0492548
31346.55944388977,212585231.8312316
31346.56638833421,212575105.2384235
31346.57333277865,212564979.2627503
31346.5802772231,212554853.8962453
31346.58722166755,212544729.1310995
31346.59416611199,212534604.9596166
31346.60111055644,212524481.3742304
31346.60805500088,212514358.3675204
31346.61499944532,212504235.9321665
31346.62194388977,212494114.0609917
31346.62888833421,212483992.7469333
31346.63583277865,212473871.9830675
31346.6427772231,212463751.762563
31346.64972166755,212453632.0787187
31346.65666611199,212443512.9249569
31346.66361055644,212433394.2947986
31346.67055500088,212423276.1818838
31346.67749944532,212413158.579942
31346.68444388977,212403041.4828343
31346.69138833421,212392924.8845071
31346.69833277865,212382808.7790115
31346.7052772231,212372693.1604967
31346.71222166755,212362578.0232076
31346.71916611199,212352463.3614782
31346.72611055644,212342349.1697477
31346.73305500088,212332235.4425348
31346.73999944532,212322122.1744373
31346.74694388977,212312009.3601463
31346.75388833421,212301896.9944453
31346.76083277865,212291785.0721898
31346.7677772231,212281673.5883012
31346.77472166755,212271562.5378048
31346.78166611199,212261451.9157837
31346.78861055644,212251341.7173995
31346.79555500088,212241231.9378853
31346.80249944532,212231122.5725451
31346.80944388977,212221013.6167513
31346.81638833421,212210905.0659393
31346.82333277865,212200796.9156279
31346.8302772231,212190689.1613734
31346.83722166755,212180581.7988126
31346.84416611199,212170474.8236349
31346.85111055644,212160368.2316028
31346.85805500088,212150262.018529
31346.86499944532,212140156.1802698
31346.87194388977,212130050.7127649
31346.87888833421,212119945.6119906
31346.88583277865,212109840.873982
31346.8927772231,212099736.4948265
31346.89972166755,212089632.4706632
31346.90666611199,212079528.7976816
31346.91361055644,212069425.4721165
31346.92055500088,212059322.4902686
31346.92749944532,212049219.8484597
31346.93444388977,212039117.5430711
31346.94138833421,212029015.570539
31346.94833277865,212018913.9273348
31346.9552772231,212008812.6099657
31346.96222166755,211998711.61499
31346.96916611199,211988610.9390173
31346.97611055644,211978510.5786852
31346.98305500088,211968410.5306764
31346.98999944532,211958310.7917131
31346.99694388977,211948211.358557
31347.00388833421,211938112.2280077
31347.01083277865,211928013.3969027
31347.0177772231,211917914.8621162
31347.02472166755,211907816.6205589
31347.03166611199,211897718.6691726
31347.03861055644,211887621.0049475
31347.04555500088,211877523.6248989
31347.05249944532,211867426.5260633
31347.05944388977,211857329.7055365
31347.06638833421,211847233.1604292
31347.07333277865,211837136.8878933
31347.0802772231,211827040.885094
31347.08722166755,211816945.1492547
31347.09416611199,211806849.6776111
31347.10111055644,211796754.4674293
31347.10805500088,211786659.5160221
31347.11499944532,211776564.8207051
31347.12194388977,211766470.3788399
31347.12888833421,211756376.1878076
31347.13583277865,211746282.2450344
31347.1427772231,211736188.5479473
31347.14972166755,211726095.0940132
31347.15666611199,211716001.8807343
31347.16361055644,211705908.9056253
31347.17055500088,211695816.1662311
31347.17749944532,211685723.6601216
31347.18444388977,211675631.3848916
31347.19138833421,211665539.3381601
31347.19833277865,211655447.5175702
31347.2052772231,211645355.9207887
31347.21222166755,211635264.5455059
31347.21916611199,211625173.3894302
31347.22611055644,211615082.4503063
31347.23305500088,211604991.7258924
31347.23999944532,211594901.213955
31347.24694388977,211584810.9123093
31347.25388833421,211574720.8187739
31347.26083277865,211564630.9311975
31347.2677772231,211554541.2474315
31347.27472166755,211544451.7653749
31347.28166611199,211534362.4829287
31347.28861055644,211524273.3980141
31347.29555500088,211514184.5085896
31347.30249944532,211504095.8126063
31347.30944388977,211494007.3080524
31347.31638833421,211483918.9929262
31347.32333277865,211473830.8652619
31347.3302772231,211463742.9230855
31347.33722166755,211453655.1644551
31347.34416611199,211443567.5874547
31347.35111055644,211433480.1901731
31347.35805500088,211423392.9707208
31347.36499944532,211413305.9272255
31347.37194388977,211403219.0578319
31347.37888833421,211393132.3607015
31347.38583277865,211383045.8340121
31347.3927772231,211372959.475958
31347.39972166755,211362873.2847496
31347.40666611199,211352787.2586088
31347.41361055644,211342701.3957865
31347.42055500088,211332615.6945401
31347.42749944532,211322530.1531292
31347.43444388977,211312444.7698552
31347.44138833421,211302359.5430164
31347.44833277865,211292274.4709352
31347.4552772231,211282189.5519303
31347.46222166755,211272104.7843618
31347.46916611199,211262020.1665865
31347.47611055644,211251935.6969745
31347.48305500088,211241851.3739283
31347.48999944532,211231767.1958371
31347.49694388977,211221683.1611173
31347.50388833421,211211599.2682073
31347.51083277865,211201515.51555
31347.5177772231,211191431.9015925
31347.52472166755,211181348.4248037
31347.53166611199,211171265.0836744
31347.53861055644,211161181.8766944
31347.54555500088,211151098.8023706
31347.55249944532,211141015.8592224
31347.55944388977,211130933.0457812
31347.56638833421,211120850.3605861
31347.57333277865,211110767.8022062
31347.5802772231,211100685.3691952
31347.58722166755,211090603.0601368
31347.59416611199,211080520.8736171
31347.60111055644,211070438.8082471
31347.60805500088,211060356.8626399
31347.61499944532,211050275.035407
31347.62194388977,211040193.325197
31347.62888833421,211030111.7306521
31347.63583277865,211020030.2504296
31347.6427772231,211009948.8831975
31347.64972166755,210999867.6276344
31347.65666611199,210989786.4824294
31347.66361055644,210979705.4462774
31347.67055500088,210969624.5179015
31347.67749944532,210959543.6960081
31347.68444388977,210949462.9793272
31347.69138833421,210939382.3666073
31347.69833277865,210929301.856598
31347.7052772231,210919221.4480455
31347.71222166755,210909141.1397319
31347.71916611199,210899060.9304312
31347.72611055644,210888980.8189314
31347.73305500088,210878900.8040295
31347.73999944532,210868820.8845323
31347.74694388977,210858741.0592549
31347.75388833421,210848661.327018
31347.76083277865,210838581.6866679
31347.7677772231,210828502.1370342
31347.77472166755,210818422.6769679
31347.78166611199,210808343.3053377
31347.78861055644,210798264.0210077
31347.79555500088,210788184.8228593
31347.80249944532,210778105.7097646
31347.80944388977,210768026.6806306
31347.81638833421,210757947.7343549
31347.82333277865,210747868.8698477
31347.8302772231,210737790.0860272
31347.83722166755,210727711.3818198
31347.84416611199,210717632.7561552
31347.85111055644,210707554.2079844
31347.85805500088,210697475.7362574
31347.86499944532,210687397.3399228
31347.87194388977,210677319.0179457
31347.87888833421,210667240.7693081
31347.88583277865,210657162.5929899
31347.8927772231,210647084.4879658
31347.89972166755,210637006.453244
31347.90666611199,210626928.4878224
31347.91361055644,210616850.5907063
31347.92055500088,210606772.7609255
31347.92749944532,210596694.9974905
31347.93444388977,210586617.2994366
31347.94138833421,210576539.6657969
31347.94833277865,210566462.0956295
31347.9552772231,210556384.5879724
31347.96222166755,210546307.1418838
31347.96916611199,210536229.7564374
31347.97611055644,210526152.4307003
31347.98305500088,210516075.1637505
31347.98999944532,210505997.9546726
31347.99694388977,210495920.8025576
31348.00042863868,210490864.0700779
31348.00737308312,210480748.0980274
31348.01431752757,210470552.0985852
31348.02126197201,210460272.4246603
31348.02538055837,210454134.6482606
31348.02607500281,210453097.0949179
31348.02773775193,210450612.8224677
31348.03134684243,210445220.5811004
31348.03873526941,210434181.788403
31348.05144959209,210415185.9129126
31348.07095892881,210386038.2893152
31348.09938718216,210343566.2459727
31348.14047607738,210282180.5501596
31348.1898535469,210208413.9719419
31348.25568281858,210110072.4366454
31348.35790056553,209957375.6887033
31348.48523320942,209767166.7938564
31348.63570959035,209542388.428121
31348.82079986041,209265900.1345738
31349.04192972273,208935557.3309974
31349.4059308863,208391705.5673702
31349.74284438504,207888209.0676408
31350.09658607074,207359414.9738575
31350.50356396455,206750824.6870206
31350.9489695775,206084480.7741928
31351.4913229024,205272665.7157129
31352.04343617785,204445735.8473167
31352.65419482562,203530369.2408926
31353.25026291777,202636418.1824933
31353.97745761721,201545029.2569469
31354.69951952808,200460534.2770041
31355.52106585884,199225705.931513
31356.38604119054,197924645.8175483
31357.38604119054,196419415.8579305
31358.38604119054,194913222.0151827
31359.38604119054,193406268.2921244
31360.38604119054,191898766.3468486
31361.38604119054,190390933.3162574
31362.38604119054,188882990.2299657
31363.38604119054,187375160.8164675
31364.38604119054,185867670.5774429
