MomenTUM.A1ModJulian,MomenTUM.Phobos.RMAG
31345.00042863868,214932884.5580273
31345.00092455313,214932116.2351472
31345.0014422744,214931297.1255433
31345.0019485573,214930480.0041898
31345.00246029326,214929638.7402295
31345.0029573705,214928807.721839
31345.00342126322,214928020.724949
31345.00389175592,214927212.0941002
31345.00445719568,214926227.5959861
31345.0050470023,214925187.4500108
31345.00552921469,214924328.1537016
31345.0060790602,214923339.7409106
31345.00662488092,214922350.6260762
31345.00716326824,214921368.2792041
31345.00780223088,214920195.0678746
31345.00838438108,214919120.3286967
31345.00896802819,214918038.1930676
31345.00967448107,214916723.3138468
31345.01041899318,214915332.8832941
31345.01119673676,214913876.5046628
31345.01201208232,214912346.6584111
31345.0128704501,214910733.838694
31345.01377552237,214909031.8086891
31345.01473438619,214907227.9485607
31345.01575185479,214905313.9445156
31345.01683432808,214903278.5388771
31345.01799124308,214901104.8173841
31345.01922822062,214898783.0994981
31345.0205480716,214896309.0114352
31345.02195504959,214893675.4775023
31345.02344681957,214890887.7159851
31345.02502349405,214887946.2729802
31345.02668864285,214884845.1658852
31345.0284425824,214881584.3981654
31345.03029159148,214878152.8170675
31345.03224083423,214874541.311717
31345.03429688777,214870738.1283275
31345.0364676592,214866729.0511504
31345.03876204067,214862498.0670455
31345.04119127188,214858024.8861429
31345.04376003235,214853301.3626312
31345.04648182057,214848303.2231864
31345.04936650079,214843013.0466251
31345.05242708011,214837407.8806317
31345.05567440508,214831469.0629642
31345.05912058455,214825176.0654777
31345.0627823236,214818500.5924972
31345.06667058976,214811425.643628
31345.07080350266,214803922.2850161
31345.0751952452,214795970.1743127
31345.0798720873,214787528.9812324
31345.08484776376,214778583.4697908
31345.0901447836,214769105.5902534
31345.09578878775,214759065.5706185
31345.1017941265,214748458.327239
31345.10818707531,214737263.0331802
31345.11499944532,214725455.919888
31345.12194388977,214713564.0074165
31345.12888833421,214701830.7723706
31345.13583277865,214690267.8575889
31345.1427772231,214678884.8837649
31345.14972166755,214667689.1025884
31345.15666611199,214656685.1009431
31345.16361055644,214645874.563985
31345.17055500088,214635256.1050028
31345.17749944532,214624825.1694627
31345.18444388977,214614574.0192585
31345.19138833421,214604491.8008603
31345.19833277865,214594564.6985683
31345.2052772231,214584776.1705426
31345.21222166755,214575107.2621137
31345.21916611199,214565536.98725
31345.22611055644,214556042.7663555
31345.23305500088,214546600.9060911
31345.23999944532,214537187.1052578
31345.24694388977,214527776.9699666
31345.25388833421,214518346.5207044
31345.26083277865,214508872.6801157
31345.2677772231,214499333.723314
31345.27472166755,214489709.6825695
31345.28166611199,214479982.6985082
31345.28861055644,214470137.3118119
31345.29555500088,214460160.6931446
31345.30249944532,214450042.8112237
31345.30944388977,214439776.5408949
31345.31638833421,214429357.7143966
31345.32333277865,214418785.120279
31345.3302772231,214408060.45481
31345.33722166755,214397188.2310477
31345.34416611199,214386175.6504002
31345.35111055644,214375032.441359
31345.35805500088,214363770.6694177
31345.36499944532,214352404.5214633
31345.37194388977,214340950.0676241
31345.37888833421,214329425.0025954
31345.38583277865,214317848.3682691
31345.3927772231,214306240.2589479
31345.39972166755,214294621.5105232
31345.40666611199,214283013.3747018
31345.41361055644,214271437.1799869
31345.42055500088,214259913.9813319
31345.42749944532,214248464.2013284
31345.43444388977,214237107.2666932
31345.44138833421,214225861.244754
31345.44833277865,214214742.4861411
31345.4552772231,214203765.2808883
31345.46222166755,214192941.5364978
31345.46916611199,214182280.4872405
31345.47611055644,214171788.4448541
31345.48305500088,214161468.6007305
31345.48999944532,214151320.8892404
31345.49694388977,214141341.9209116
